flag_gfw,total_mortality,mean_rank,rank_group,country,mpa,Byc.Est,RFMO
TWN,2796.413377,2.4,2,Taiwan,0,0.4,2
KOR,1237.28907,3.1111,3,South Korea,1.1111,0,2
JPN,912.1242925,4.8,5,Japan,2,0.8,2
VNM,785.08538,2.1,2,Vietnam,1.1,0,1
CHN,552.4806811,3.7603,4,China,1.3603,0.4,2
RUS,191.1021246,1.3264,1,Russia,1.3264,0,0
PER,188.7656212,3.8,4,Peru,2,0.8,1
IDN,123.9008133,2.6062,3,Indonesia,1.6062,0,1
FJI,89.66699779,2.8,3,Fiji,1.8,0,1
VUT,76.37353607,4,4,Vanuatu,2,0,2
ECU,74.34848321,4.1718,4,Ecuador,1.3718,0.8,2
USA,59.0675934,5.7904,6,United States,1.7904,2,2
CHL,51.14723874,3.1125,3,Chile,1.3125,0.8,1
GBR,49.17998587,2.9868,3,United Kingdom,1.9868,0,1
NCL,43.44521649,3.2613,3,New Caledonia,1.2613,0,2
AUS,40.90643795,2.7853,3,Australia,1.3853,0.4,1
PYF,38.42109803,3.875,4,French Polynesia,1.875,0,2
THA,36.33428937,1,1,Thailand,0,0,1
MHL,26.97458804,3.4,3,Marshall Islands,2,0.4,1
FSM,19.31885718,1,1,Federated States of Micronesia,0,0,1
MEX,19.25431752,4.167,4,Mexico,1.367,0.8,2
ESP,17.92762926,3.8101,4,Spain,1.8101,0,2
PNG,16.83348294,3,3,Papua New Guinea,2,0,1
PAN,16.44441151,3.9357,4,Panama,1.5357,0.4,2
SHN,15.73714571,0,0,NA,NA,NA,NA
GRC,15.21687615,3.6118,4,Greece,1.6118,0,2
CYP,14.51764443,3.2542,3,Cyprus,1.2542,0,2
CAN,13.8492514,3.6696,4,Canada,1.6696,0,2
ALB,13.73408559,1.384,1,Albania,1.384,0,0
KIR,13.15071666,3,3,Kiribati,1,0,2
MYS,11.93177958,1.5714,2,Malaysia,1.5714,0,0
PHL,9.917381908,2.0261,2,Philippines,1.0261,0,1
COL,9.155903807,3.0846,3,Colombia,1.6846,0.4,1
VEN,7.855055383,1,1,Venezuela,0,0,1
NRU,6.794745104,1,1,Nauru,0,0,1
FLK,5.974931488,0,0,NA,NA,NA,NA
VAT,5.530396207,0,0,NA,NA,NA,NA
IRQ,5.388351775,2,2,Iraq,2,0,0
LIE,4.989169559,0,0,NA,NA,NA,NA
AND,4.723736442,0,0,NA,NA,NA,NA
SGP,4.417316075,1,1,Singapore,1,0,0
PRK,3.675164501,0,0,NA,NA,NA,NA
SLB,3.565079408,3,3,Solomon Islands,2,0,1
UKR,3.5639038,0,0,Ukraine,0,0,0
NZL,3.378796151,2.8222,3,New Zealand,1.4222,0.4,1
PRT,3.301481729,3.6643,4,Portugal,1.6643,0,2
CAF,2.583768347,0,0,NA,NA,NA,NA
BTN,2.429000906,0,0,NA,NA,NA,NA
COM,2.395933334,2,2,Comoros,2,0,0
GAB,2.220042548,1.6833,2,Gabon,1.6833,0,0
BES,2.074462975,0,0,NA,NA,NA,NA
MNG,2.073743066,0,0,NA,NA,NA,NA
BLZ,2.062474996,2.3994,2,Belize,1.3994,0,1
COK,1.700490517,1,1,Cook Islands,0,0,1
MOZ,1.680530969,2,2,Mozambique,2,0,0
BEL,1.638686795,3.75,4,Belgium,1.75,0,2
GTM,1.598583941,3,3,Guatemala,2,0,1
IRN,1.572595401,0,0,Iran,0,0,0
ATF,1.572446645,0,0,NA,NA,NA,NA
CCK,1.493877253,0,0,NA,NA,NA,NA
SYR,1.485730677,0,0,Syria,0,0,0
DEU,1.343581241,3.5618,4,Germany,1.5618,0,2
ZMB,1.327130583,0,0,NA,NA,NA,NA
SOM,1.317076431,2,2,Somalia,2,0,0
OMN,1.314171315,2,2,Oman,2,0,0
JOR,1.280666225,1.5,2,Jordan,1.5,0,0
AZE,1.278994908,0,0,NA,NA,NA,NA
REU,1.276334801,0,0,NA,NA,NA,NA
KHM,1.242260938,2,2,Cambodia,2,0,0
LBR,1.2238065,4,4,Liberia,2,0,2
TJK,1.199121713,0,0,NA,NA,NA,NA
HKG,1.129433926,1.92,2,Hong Kong,1.92,0,0
NOR,1.12830513,0.774,1,Norway,0.774,0,0
TUV,1.06695089,3,3,Tuvalu,2,0,1
AIA,1.027579852,1.5834,2,Anguilla,1.5834,0,0
